Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
SUV420H1,151,0.81,15,38,0.82,3,NA,NA,0,45,1.18,6
SUV420H2,NA,NA,0,12,0.42,2,NA,NA,0,NA,NA,0
SUZ12,202,0.74,21,67,0.7,9,7,1,1,115,0.89,12
SV2A,5,0.6,1,11,0.82,2,NA,NA,0,NA,NA,0
SVIL,85,0.75,10,151,0.85,19,NA,NA,0,NA,NA,0
SWAP70,217,0.73,24,50,0.82,5,12,1.25,1,46,1.22,4
SWT1,5,0.8,1,NA,NA,0,NA,NA,0,5,1.4,1
SYAP1,34,0.41,5,29,0.9,2,NA,NA,0,26,1.19,4
SYBU,NA,NA,0,8,1.75,1,NA,NA,0,NA,NA,0
SYCE1L,38,0.42,5,102,0.96,2,NA,NA,0,NA,NA,0
SYCP2,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
SYCP3,NA,NA,0,38,1.03,1,NA,NA,0,NA,NA,0
SYDE1,5,1,1,63,0.79,7,NA,NA,0,6,0.83,1
SYDE2,713,0.82,70,195,0.83,15,12,1,4,98,1.02,12
SYF2,96,0.74,11,NA,NA,0,NA,NA,0,17,0.82,2
SYK,5,0.2,1,15,0.93,2,NA,NA,0,6,0.33,1
SYMPK,143,0.65,16,326,0.79,32,NA,NA,0,150,0.95,12
SYN3,NA,NA,0,41,0.88,2,NA,NA,0,NA,NA,0
SYNCRIP,2174,0.89,78,553,0.85,37,14,1.07,3,253,0.92,23
SYNE1,NA,NA,0,46,0.7,6,NA,NA,0,NA,NA,0
SYNE2,536,0.74,66,328,0.85,34,NA,NA,0,74,0.96,9
SYNGAP1,NA,NA,0,14,0.93,1,NA,NA,0,NA,NA,0
SYNGR1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SYNGR2,NA,NA,0,13,0.62,2,NA,NA,0,NA,NA,0
SYNGR3,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
SYNJ1,20,0.6,3,47,0.96,5,NA,NA,0,26,1.12,2
SYNJ2,12,0.5,2,28,0.71,4,NA,NA,0,5,1.2,1
SYNJ2BP,159,0.92,9,21,0.67,3,9,0.89,1,44,1,6
SYNM,18,1.06,3,29,0.79,4,NA,NA,0,NA,NA,0
SYNRG,356,0.81,30,141,0.71,16,NA,NA,0,60,1.03,6
SYP,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SYPL1,22,0.5,4,NA,NA,0,5,1,1,10,0.9,2
SYS1,5,0.4,1,NA,NA,0,NA,NA,0,NA,NA,0
SYT1,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
SYT11,30,0.8,4,NA,NA,0,NA,NA,0,14,0.86,2
SYT14,186,0.75,21,20,0.85,3,NA,NA,0,26,0.73,4
SYT3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SYT9,272,0.8,19,49,0.71,8,NA,NA,0,19,1,2
SYTL5,42,0.71,6,5,1,1,NA,NA,0,5,0.8,1
SYVN1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
SZT2,NA,NA,0,35,0.69,5,NA,NA,0,NA,NA,0
TAB1,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
TAB2,372,0.8,35,89,0.78,10,30,0.97,4,85,0.98,9
TAB3,96,0.76,11,221,1.77,6,NA,NA,0,5,0.8,1
TACC1,415,0.8,38,234,0.81,21,NA,NA,0,89,1.1,11
TACC2,7,0.86,1,80,0.83,9,NA,NA,0,NA,NA,0
TACC3,338,0.84,24,302,0.87,25,NA,NA,0,170,0.93,10
TACO1,6,0.67,1,6,0.5,1,NA,NA,0,NA,NA,0
TADA1,12,0.92,2,NA,NA,0,NA,NA,0,NA,NA,0
TADA2A,13,0.69,2,5,1,1,NA,NA,0,NA,NA,0
TADA2B,43,0.65,5,45,0.82,3,NA,NA,0,24,0.96,3
TADA3,17,0.47,3,38,0.89,6,NA,NA,0,5,1,1
TAF1,124,0.73,17,107,0.79,12,5,1.2,1,8,1,1
TAF10,NA,NA,0,5,1.4,1,NA,NA,0,NA,NA,0
TAF11,39,0.69,5,7,0.29,1,NA,NA,0,7,1.43,1
TAF13,21,0.76,3,NA,NA,0,11,1.09,3,30,1.2,3
TAF15,143,0.73,10,149,0.58,14,NA,NA,0,NA,NA,0
TAF1A,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
TAF1B,127,0.78,12,67,0.81,5,16,1.13,2,59,1,5
TAF1C,NA,NA,0,NA,NA,0,NA,NA,0,9,1,1
TAF1D,11,0.55,2,29,0.76,2,NA,NA,0,10,0.8,1
TAF1L,NA,NA,0,NA,NA,0,NA,NA,0,5,0.2,1
TAF2,23,0.74,3,28,1,4,NA,NA,0,14,1.21,2
TAF3,176,0.88,15,132,0.83,10,12,0.83,2,108,0.98,7
TAF4,5,0.8,1,71,0.94,10,NA,NA,0,27,0.74,4
TAF4B,57,0.77,7,17,0.76,3,NA,NA,0,NA,NA,0
TAF5,161,0.8,15,70,0.84,5,NA,NA,0,51,1.02,6
TAF5L,566,0.8,32,416,0.82,21,20,0.8,1,208,0.94,17
TAF6,16,0.75,2,29,0.52,4,NA,NA,0,16,1.06,3
TAF6L,NA,NA,0,15,0.67,2,NA,NA,0,NA,NA,0
TAF7,679,0.88,27,175,0.82,13,15,1,2,148,0.95,9
TAF8,31,0.77,5,24,0.92,4,NA,NA,0,NA,NA,0
TAF9,30,0.83,3,12,0.83,2,NA,NA,0,17,0.94,2
TAF9B,NA,NA,0,NA,NA,0,NA,NA,0,5,1,1
TAGLN2,6,0.83,1,13,0.69,2,NA,NA,0,8,1,1
TAL1,6,0.33,1,NA,NA,0,NA,NA,0,NA,NA,0
TALDO1,26,0.81,3,19,1,2,NA,NA,0,50,0.98,5
TAMM41,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TANC1,16,0.75,3,234,0.88,24,5,1,1,7,1,1
TANC2,136,0.67,15,239,0.81,26,NA,NA,0,NA,NA,0
TANK,NA,NA,0,9,0.56,1,NA,NA,0,NA,NA,0
TAOK1,1110,0.87,46,663,0.82,36,141,0.93,14,390,0.98,23
TAOK2,27,0.7,4,230,0.8,17,NA,NA,0,7,1,1
TAOK3,6,0.67,1,27,0.85,2,NA,NA,0,NA,NA,0
TAP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TAP2,24,0.75,2,5,0.2,1,NA,NA,0,NA,NA,0
TAPBP,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TAPT1,11,0.91,2,NA,NA,0,NA,NA,0,11,0.91,2
TARBP1,286,0.77,27,252,0.73,23,NA,NA,0,8,1.25,1
TARBP2,6,0.83,1,7,0.71,1,NA,NA,0,NA,NA,0
TARDBP,206,0.65,13,2211,0.06,13,8,0.88,2,37,0.97,5
TARS,523,0.8,36,294,0.75,18,19,0.95,3,120,0.98,12
TARS2,63,0.79,6,95,0.74,10,NA,NA,0,7,0.86,1
TARSL2,NA,NA,0,25,0.76,4,NA,NA,0,NA,NA,0
TAS1R1,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
TATDN2,631,0.82,38,425,0.76,30,9,0.89,1,66,1.02,6
TATDN3,NA,NA,0,6,0.67,1,NA,NA,0,NA,NA,0
TAX1BP1,142,0.82,14,64,0.75,5,6,1.17,2,59,1.19,4
TAZ,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TBC1D1,59,0.64,9,87,0.78,10,NA,NA,0,5,1.4,1
TBC1D10A,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TBC1D10B,149,0.86,7,508,0.82,29,NA,NA,0,93,0.9,11
TBC1D12,219,0.79,21,105,0.95,7,NA,NA,0,27,1.04,4
TBC1D13,10,1,2,44,0.75,6,NA,NA,0,6,0.83,1
TBC1D14,246,0.78,24,108,0.68,13,NA,NA,0,11,0.82,2
TBC1D15,196,0.8,18,24,0.75,3,11,0.91,2,172,1.08,10
TBC1D16,32,0.84,4,73,0.73,10,NA,NA,0,5,0.4,1
TBC1D17,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TBC1D20,8,0.75,1,7,0.43,1,NA,NA,0,NA,NA,0
TBC1D22A,5,0.8,1,37,0.81,5,NA,NA,0,NA,NA,0
TBC1D22B,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
TBC1D23,5,1,1,7,0.43,1,NA,NA,0,NA,NA,0
TBC1D24,5,0.4,1,57,0.79,8,NA,NA,0,NA,NA,0
TBC1D25,5,0.8,1,20,0.85,3,NA,NA,0,NA,NA,0
TBC1D2B,192,0.75,15,140,0.81,16,NA,NA,0,74,0.88,8
TBC1D30,6,0.67,1,7,1.14,1,NA,NA,0,NA,NA,0
TBC1D4,513,0.79,40,348,0.83,26,NA,NA,0,167,1.14,11
TBC1D5,38,0.61,2,31,0.71,2,NA,NA,0,25,0.96,1
TBC1D7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TBC1D8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TBC1D9,1181,0.88,52,727,0.84,38,26,0.92,5,224,0.96,20
TBC1D9B,191,0.75,14,450,0.88,31,NA,NA,0,44,0.89,5
TBCA,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
TBCB,5,0.6,1,28,0.79,4,NA,NA,0,NA,NA,0
TBCC,5,0.4,1,26,0.92,2,NA,NA,0,NA,NA,0
TBCCD1,6,0.83,1,5,0.8,1,NA,NA,0,11,0.73,2
TBCD,NA,NA,0,66,0.71,10,NA,NA,0,NA,NA,0
TBCE,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TBCEL,292,0.79,30,29,0.76,3,6,0.67,2,24,0.88,3
TBCK,NA,NA,0,NA,NA,0,NA,NA,0,5,0.2,1
TBK1,12,0.92,2,NA,NA,0,6,0.67,2,22,0.77,2
TBKBP1,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
TBL1X,96,0.74,11,72,0.86,7,NA,NA,0,NA,NA,0
TBL1XR1,815,0.82,52,115,0.86,14,15,0.93,2,69,1.1,7
TBL2,32,0.78,2,22,0.86,4,NA,NA,0,6,1.17,1
TBL3,NA,NA,0,31,0.68,4,NA,NA,0,NA,NA,0
TBP,30,0.7,4,10,0.7,2,NA,NA,0,NA,NA,0
TBRG1,35,0.57,4,21,0.67,3,NA,NA,0,NA,NA,0
TBRG4,66,0.82,9,99,0.82,10,6,1,1,24,1,4
TBX1,5,0.6,1,25,1.04,3,NA,NA,0,NA,NA,0
TBX18,298,0.77,24,74,0.65,8,NA,NA,0,13,1.15,2
TBX2,17,0.41,3,28,1.04,3,NA,NA,0,27,1.04,1
TBX20,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TBX3,76,0.92,8,64,0.8,7,6,0.67,1,6,1.17,1
TC2N,62,0.81,8,NA,NA,0,NA,NA,0,NA,NA,0
TCAP,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCEAL4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCEAL8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCEANC,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
TCEB1,15,0.6,2,NA,NA,0,5,1.4,2,15,1.2,2
TCEB2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCEB3,1198,0.85,38,618,0.84,25,88,0.85,8,361,0.99,15
TCERG1,563,0.85,34,99,0.74,14,32,1.13,5,179,1.01,11
TCERG1L,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCF12,121,0.78,11,52,0.71,8,7,1.14,1,22,0.91,3
TCF19,26,0.46,3,8,0.13,1,NA,NA,0,8,1.25,1
TCF20,1715,0.88,69,1420,0.85,66,55,1,9,311,0.96,24
TCF25,6,0.83,1,31,0.68,4,NA,NA,0,7,0.86,1
TCF3,51,0.37,5,80,0.58,11,NA,NA,0,44,1,3
TCF4,139,0.82,13,69,0.78,8,NA,NA,0,5,1,1
TCF7,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TCF7L2,NA,NA,0,40,0.9,7,NA,NA,0,NA,NA,0
TCFL5,526,0.84,29,182,0.8,19,NA,NA,0,48,0.85,6
TCHP,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCN2,NA,NA,0,13,2,1,NA,NA,0,NA,NA,0
TCOF1,492,0.86,32,539,0.85,38,NA,NA,0,256,1.02,12
TCP1,208,0.74,14,138,0.8,9,12,0.75,1,112,0.9,9
TCP11L1,491,0.83,39,186,0.75,19,5,0.8,1,25,1.04,3
TCP11L2,17,0.53,3,5,1,1,NA,NA,0,NA,NA,0
TCTE1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCTN2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TCTN3,6,0.67,1,7,0.43,1,NA,NA,0,NA,NA,0
TDG,135,0.92,10,NA,NA,0,NA,NA,0,10,0.8,1
TDP1,NA,NA,0,15,0.8,3,NA,NA,0,NA,NA,0
TDP2,38,0.84,4,14,0.64,2,9,1.44,1,28,1.21,2
TDRD3,11,0.64,2,17,1,2,NA,NA,0,5,0.4,1
TDRD6,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TDRD7,NA,NA,0,28,0.79,4,NA,NA,0,NA,NA,0
TDRKH,11,1,2,NA,NA,0,NA,NA,0,NA,NA,0
TEAD1,249,0.78,28,58,0.84,10,8,1.13,1,17,0.88,2
TEAD2,NA,NA,0,13,0.69,2,NA,NA,0,NA,NA,0
TEAD3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TEAD4,18,0.83,2,11,0.73,1,NA,NA,0,NA,NA,0
TECPR1,NA,NA,0,23,1,3,NA,NA,0,5,0.8,1
TECPR2,38,0.74,6,155,0.76,18,NA,NA,0,14,1,2
TECR,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
TEF,6,0.67,1,NA,NA,0,NA,NA,0,12,0.83,2
TEKT1,NA,NA,0,19,1.95,1,NA,NA,0,NA,NA,0
TEKT4P2,5,0.2,1,22,0.77,3,NA,NA,0,NA,NA,0
TELO2,NA,NA,0,19,0.95,2,NA,NA,0,NA,NA,0
TENC1,NA,NA,0,15,1,2,NA,NA,0,NA,NA,0
TEP1,NA,NA,0,16,0.81,3,NA,NA,0,NA,NA,0
TERF1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TERF2,NA,NA,0,10,0.6,2,NA,NA,0,15,1.07,2
TERF2IP,17,0.71,3,28,0.93,4,NA,NA,0,10,1.3,1
TES,346,0.83,27,89,0.94,8,6,1.17,2,68,0.85,7
TESK1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TET1,381,0.71,40,237,0.81,19,NA,NA,0,11,1,2
TET2,46,0.74,7,24,0.79,3,NA,NA,0,38,1.05,3
TET3,23,0.91,4,94,0.79,11,NA,NA,0,15,0.93,3
TEX10,85,0.56,11,78,0.85,6,5,1,2,43,1.23,6
TEX14,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
TEX15,191,0.77,24,23,0.87,3,NA,NA,0,NA,NA,0
TEX2,216,0.73,26,194,0.85,15,5,1.4,1,5,0.8,1
TEX22,NA,NA,0,43,0.86,5,NA,NA,0,NA,NA,0
TEX261,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TEX264,32,0.69,4,81,0.8,9,NA,NA,0,18,1.06,2
TFAM,960,0.86,42,128,0.86,7,5,1,1,89,0.98,10
TFAP2A,8,0.5,1,34,0.44,3,NA,NA,0,NA,NA,0
TFAP2C,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TFAP4,5,1,1,9,0.67,1,NA,NA,0,NA,NA,0
TFB1M,22,0.86,3,12,0.92,2,NA,NA,0,10,1.3,1
TFB2M,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TFCP2,68,0.69,7,117,0.77,9,NA,NA,0,7,1.14,1
TFCP2L1,50,0.56,6,35,0.8,6,NA,NA,0,NA,NA,0
TFDP1,331,0.82,22,213,0.78,17,NA,NA,0,104,0.85,6
TFDP2,101,0.74,12,46,0.83,4,NA,NA,0,6,0.83,1
TFE3,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
TFEB,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TFG,28,0.75,4,20,0.65,3,NA,NA,0,13,1,2
TFIP11,128,0.79,13,124,0.76,13,8,0.88,1,42,0.93,5
TFPT,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TFRC,868,0.85,45,138,0.77,13,12,1.33,3,84,1.05,10
TGDS,15,0.4,2,NA,NA,0,NA,NA,0,8,0.88,1
TGFA,11,0.82,2,NA,NA,0,NA,NA,0,NA,NA,0
TGFB1,12,0.67,2,5,0.6,1,NA,NA,0,NA,NA,0
TGFB1I1,NA,NA,0,NA,NA,0,15,1,1,NA,NA,0
TGFBR1,1449,0.84,62,282,0.88,21,56,1.07,11,116,0.99,10
TGFBR2,178,0.87,19,23,0.96,3,NA,NA,0,7,1,1
TGFBR3,421,0.81,35,105,1.01,11,29,1.24,5,30,1.2,4
TGFBRAP1,99,0.64,12,114,0.82,13,5,1.4,1,31,1.03,3
TGIF1,NA,NA,0,11,0.82,2,NA,NA,0,NA,NA,0
TGIF2,NA,NA,0,25,0.64,4,NA,NA,0,NA,NA,0
TGOLN2,1466,0.87,45,658,0.8,33,91,1,5,169,0.95,15
TGS1,79,0.8,10,31,0.81,4,NA,NA,0,18,1.22,3
TH1L,11,0.91,2,22,0.64,3,NA,NA,0,20,1.05,2
THADA,186,0.79,22,108,0.74,12,NA,NA,0,NA,NA,0
THAP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
THAP10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
THAP11,NA,NA,0,44,0.59,5,NA,NA,0,7,0.86,1
THAP3,NA,NA,0,5,0.8,1,NA,NA,0,NA,NA,0
THAP4,34,0.82,3,79,0.86,8,NA,NA,0,NA,NA,0
THAP5,34,0.74,5,5,0.4,1,NA,NA,0,28,1.11,4
THAP7,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
THAP9,62,0.69,9,7,0.43,1,NA,NA,0,19,1.05,2
THBD,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
THBS4,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
THEMIS,NA,NA,0,NA,NA,0,NA,NA,0,11,1,1
THG1L,5,0.8,1,NA,NA,0,NA,NA,0,NA,NA,0
THNSL1,149,0.72,14,28,0.64,3,NA,NA,0,10,1.2,2
THNSL2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
THOC2,271,0.77,24,91,0.85,8,11,1.09,3,47,1.06,5
THOC4,232,0.84,14,105,0.69,9,NA,NA,0,32,0.94,4
THOC5,99,0.75,10,157,0.83,12,5,1,1,20,1.1,2
THOC6,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
THOC7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
THOP1,83,0.64,11,141,0.76,14,NA,NA,0,49,1.02,5
THRA,22,0.64,2,42,0.71,5,NA,NA,0,7,1,1
THRAP3,317,0.81,25,255,0.81,19,NA,NA,0,29,0.62,4
THRB,114,0.75,11,84,0.94,9,NA,NA,0,NA,NA,0
THSD1,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
THSD4,NA,NA,0,NA,NA,0,NA,NA,0,6,1,1
THSD7A,9,0.78,1,NA,NA,0,12,1,1,NA,NA,0
THSD7B,NA,NA,0,18,0.11,1,NA,NA,0,NA,NA,0
THTPA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
THUMPD1,238,0.81,19,14,0.64,2,NA,NA,0,46,1.09,4
THUMPD2,51,0.84,6,29,0.31,4,5,0.8,1,NA,NA,0
THUMPD3,282,0.85,20,109,0.86,10,NA,NA,0,30,0.9,3
THYN1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIA1,61,0.84,7,27,0.63,3,11,1,4,23,1.09,3
TIAF1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIAL1,269,0.77,19,102,0.78,9,NA,NA,0,63,0.84,6
TIAM1,331,0.84,33,446,0.8,42,5,1,1,5,1,1
TIAM2,227,0.79,25,66,0.92,8,8,1,1,22,1.14,3
TICAM1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TICAM2,734,0.8,51,50,0.6,6,NA,NA,0,17,1.18,2
TIFA,29,0.66,3,NA,NA,0,NA,NA,0,NA,NA,0
TIGD2,5,1.2,1,5,1,1,NA,NA,0,NA,NA,0
TIGD4,NA,NA,0,19,2,1,NA,NA,0,NA,NA,0
TIGD5,NA,NA,0,36,0.83,5,NA,NA,0,8,1.13,1
TIGD6,10,0.9,1,NA,NA,0,NA,NA,0,NA,NA,0
TIGD7,18,0.83,2,NA,NA,0,NA,NA,0,NA,NA,0
TIMELESS,315,0.75,29,364,0.81,24,5,0.6,2,32,0.91,4
TIMM10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIMM13,NA,NA,0,41,0.68,4,NA,NA,0,NA,NA,0
TIMM17A,52,0.88,7,9,0.89,1,NA,NA,0,60,1.13,3
TIMM17B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIMM22,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIMM23,5,0.2,1,NA,NA,0,NA,NA,0,11,0.82,2
TIMM23B,215,0.84,19,19,0.84,3,NA,NA,0,NA,NA,0
TIMM44,32,0.75,4,76,0.83,10,NA,NA,0,29,1.03,2
TIMM50,56,0.68,6,80,0.81,8,NA,NA,0,NA,NA,0
TIMM8A,110,0.77,9,21,0.57,3,NA,NA,0,NA,NA,0
TIMM8B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIMM9,NA,NA,0,7,0.71,1,NA,NA,0,NA,NA,0
TIMMDC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIMP3,NA,NA,0,8,1,1,NA,NA,0,NA,NA,0
TINF2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TIPARP,353,0.76,31,45,0.71,6,19,1.42,5,122,1.05,13
TIPIN,140,0.87,10,17,0.94,2,9,1,2,36,0.97,2
TIPRL,71,0.77,8,17,0.53,2,NA,NA,0,21,0.86,3
TIRAP,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TJAP1,18,0.61,3,23,1,3,NA,NA,0,NA,NA,0
TJP1,314,0.76,28,295,0.86,24,NA,NA,0,49,1.06,8
TJP2,54,0.63,7,109,0.72,13,NA,NA,0,5,1.6,1
TJP3,5,0.2,1,23,0.09,1,NA,NA,0,NA,NA,0
TK1,NA,NA,0,13,1.46,2,NA,NA,0,NA,NA,0
TK2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TKT,33,0.45,4,68,0.71,8,NA,NA,0,7,0.71,1
TLCD2,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
TLE1,113,0.91,12,156,0.71,16,NA,NA,0,26,0.77,5
TLE2,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
TLE3,872,0.85,45,1045,0.83,56,NA,NA,0,165,0.96,19
TLE4,85,0.71,11,61,0.74,7,5,0.8,1,35,0.91,4
TLK1,63,0.73,5,21,0.67,3,NA,NA,0,14,1.36,2
TLK2,49,0.8,2,8,0.88,1,NA,NA,0,7,1,1
TLN1,948,0.78,72,1456,0.83,82,5,1,2,159,0.97,20
TLN2,NA,NA,0,28,0.75,5,NA,NA,0,NA,NA,0
TLR5,6,0.33,1,NA,NA,0,NA,NA,0,NA,NA,0
TLX1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TLX3,5,0.6,1,NA,NA,0,NA,NA,0,NA,NA,0
TM2D1,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
TM2D2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TM2D3,47,0.79,5,11,0.91,1,NA,NA,0,8,0.5,1
TM7SF2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TM7SF3,187,0.75,15,81,0.78,9,6,1,1,31,0.9,4
TM9SF1,19,0.58,2,5,1,1,NA,NA,0,21,1.05,3
TM9SF2,57,0.77,7,22,1.14,3,NA,NA,0,44,1.2,3
TM9SF3,482,0.83,40,46,0.7,7,53,0.92,7,160,0.96,15
TM9SF4,NA,NA,0,11,0.91,2,NA,NA,0,NA,NA,0
TMBIM1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMBIM4,10,0.3,2,NA,NA,0,NA,NA,0,NA,NA,0
TMBIM6,103,0.57,12,74,0.7,9,NA,NA,0,27,0.81,4
TMC5,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TMC7,NA,NA,0,6,0.83,1,NA,NA,0,NA,NA,0
TMCC1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
TMCC2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMCC3,11,0.64,2,6,1,1,NA,NA,0,NA,NA,0
TMCO3,100,0.64,10,79,0.77,9,NA,NA,0,75,1.01,8
TMCO4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMCO6,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
TMCO7,9,0.89,1,39,0.97,4,NA,NA,0,NA,NA,0
TMED1,NA,NA,0,15,0.8,2,NA,NA,0,NA,NA,0
TMED10,839,0.85,42,102,0.81,11,26,0.88,3,35,0.86,5
TMED2,122,0.75,13,77,0.74,6,5,1,2,24,1.04,3
TMED3,NA,NA,0,9,0.44,1,NA,NA,0,6,1.17,1
TMED4,15,0.67,2,24,0.63,2,NA,NA,0,7,0.71,1
TMED5,715,0.82,44,30,0.8,3,100,0.95,15,43,1,6
TMED7,15,0.4,2,NA,NA,0,51,1.1,7,60,1.05,7
TMED8,1094,0.83,73,254,0.85,23,31,1.03,5,27,1.04,4
TMED9,5,0.6,1,51,0.86,5,NA,NA,0,6,0.83,1
TMEFF1,NA,NA,0,NA,NA,0,NA,NA,0,8,1,1
TMEM101,NA,NA,0,5,1,1,NA,NA,0,6,1.17,1
TMEM104,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMEM106B,6,0.17,1,NA,NA,0,NA,NA,0,NA,NA,0
TMEM106C,34,0.62,4,25,0.64,3,NA,NA,0,NA,NA,0
TMEM107,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
TMEM109,NA,NA,0,19,0.47,3,NA,NA,0,NA,NA,0
TMEM11,41,0.85,5,NA,NA,0,NA,NA,0,8,1.13,1
TMEM110,12,0.92,2,13,0.69,2,NA,NA,0,NA,NA,0
TMEM111,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMEM115,6,0.17,1,16,0.75,3,NA,NA,0,NA,NA,0
TMEM120B,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
TMEM121,NA,NA,0,9,0.89,1,NA,NA,0,NA,NA,0
TMEM123,570,0.85,38,67,0.79,8,6,1,2,5,1.2,1
TMEM126A,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMEM127,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
TMEM128,12,0.67,2,NA,NA,0,NA,NA,0,NA,NA,0
TMEM129,29,0.55,5,71,0.8,6,NA,NA,0,5,1,1
TMEM131,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
